name, type, manufacturer, barcode, price
Ipad Pro,Home Supplies,Dell,1587998527,382.7019929885864
Macbook Pro,Office Supplies,Dell,1081754411,979.4675707817078
XPS 13,Home Appliances,Dell,1930359968,493.0763840675354
Noise Cancelling Series 2,Office Supplies,Dell,1820581447,293.62064599990845
Inspiron,Home Supplies,Dell,1496564231,626.2226104736328
Macbook Air,Home Appliances,Dell,1931671337,620.3184723854065
Chips,Home Supplies,Dell,1090879098,536.569356918335
Milk,Home Supplies,Dell,1166366705,483.8588833808899
Yoghurt,Home Appliances,Dell,1634213457,122.94667959213257
Cheese,Home Supplies,Dell,1036996265,247.22135066986084
Chicken Breast,Office Supplies,Dell,1823203029,467.6625728607178
Frozen Pizza,Home Supplies,Dell,1286341657,170.55487632751465
Bagels,Office Supplies,Dell,1873868336,299.18020963668823
Bread,Home Appliances,Dell,1335478207,584.7276449203491
Cookies,Food,Dell,1976736887,62.69848346710205
Sparkling Water,Home Appliances,Dell,1878045143,846.2833166122437
Energy Drink,Home Appliances,Dell,1829522904,907.7443480491638
Soda,Personal Gadget,Dell,1758577595,346.6741442680359
Root Beer,Home Supplies,Dell,1538265618,292.1317219734192
Juice,Office Supplies,Dell,1887191216,857.8150868415833
Toilet Paper,Home Supplies,Dell,1242345990,351.27711296081543
Tooth Brush,Home Supplies,Dell,1883313680,772.0857262611389
Mouthwash,Food,Dell,1992754624,937.9540681838989
Toothpaste,Personal Gadget,Dell,1728593469,780.2751660346985
Soap,Home Supplies,Dell,1931726622,250.3131628036499
Shampoo,Personal Gadget,Dell,1155501072,496.13499641418457
Shower Gel,Office Supplies,Dell,1436363649,138.7128233909607
Dish Soap,Home Appliances,Dell,1156008752,829.8029899597168
Towels,Personal Gadget,Dell,1115735521,621.0415959358215
Cutlery,Home Supplies,Dell,1607257676,211.1455798149109
Sanitizer,Home Supplies,Dell,1922417756,401.33941173553467
Laundry Detergent,Food,Dell,1962082425,322.9252099990845
Fabric Softener,Personal Gadget,Dell,1953328245,540.3341054916382
Dishwasher,Personal Gadget,Dell,1516079900,905.6340456008911
Refrigerator,Office Supplies,Dell,1084555078,84.82170104980469
TV,Personal Gadget,Dell,1354617869,601.9816994667053
Sound System,Personal Gadget,Dell,1489717202,844.5850014686584
Microwave,Home Supplies,Dell,1508445644,208.64194631576538
Oven,Personal Gadget,Dell,1425997968,482.82724618911743
Electric Kettle,Personal Gadget,Dell,1551680706,163.3310317993164
Coffee Maker,Personal Gadget,Dell,1796690744,234.09521579742432
Heater,Personal Gadget,Dell,1197819071,512.1184587478638
Humidifier,Food,Dell,1789870572,410.703182220459
Gaming Console,Office Supplies,Dell,1865587937,948.6921429634094
Pen,Home Supplies,Dell,1991259630,136.18236780166626
Pencil,Office Supplies,Dell,1565095676,95.87103128433228
Notepad,Home Supplies,Dell,1432712653,636.8481516838074
Sticky Notes,Home Supplies,Dell,1304621218,889.8627758026123
Calendar,Personal Gadget,Dell,1988862681,817.8907036781311
Planner,Personal Gadget,Dell,1938939861,437.6101493835449
Highlighter,Personal Gadget,Dell,1811815782,589.2741680145264
Sharpener,Office Supplies,Dell,1511342147,833.1887125968933
Notebook,Home Appliances,Dell,1301464590,533.1224799156189
Journal,Office Supplies,Dell,1614131743,254.87130880355835
Diary,Personal Gadget,Dell,1666734482,515.244722366333
Printer,Home Supplies,Dell,1677677318,912.5387072563171
Trashcan,Home Appliances,Dell,1926230924,939.205527305603
Chair,Office Supplies,Dell,1857953415,596.1057543754578
Tape,Home Supplies,Dell,1226302196,675.1964092254639
Eraser,Home Appliances,Dell,1929478831,288.1753444671631
Iphone X,Home Supplies,HP,1387066719,624.3596076965332
Ipad Pro,Office Supplies,HP,1297809435,474.9884605407715
Macbook Pro,Personal Gadget,HP,1404707308,211.72207593917847
XPS 13,Home Appliances,HP,1557055969,923.7921833992004
Noise Cancelling Series 2,Home Appliances,HP,1289156268,350.21668672561646
Inspiron,Personal Gadget,HP,1457690117,125.00113248825073
Macbook Air,Food,HP,1663662280,50.21250247955322
Chips,Food,HP,1383212581,735.1231575012207
Milk,Food,HP,1325744197,532.497763633728
Yoghurt,Food,HP,1516750332,940.604031085968
Cheese,Personal Gadget,HP,1812424628,559.8262548446655
Chicken Breast,Office Supplies,HP,1506613219,10.910511016845703
Frozen Pizza,Home Appliances,HP,1536748273,558.143138885498
Bagels,Food,HP,1200190589,566.8201446533203
Bread,Office Supplies,HP,1393405331,731.774628162384
Cookies,Personal Gadget,HP,1635841066,480.6515574455261
Sparkling Water,Home Supplies,HP,1760396864,768.6384916305542
Energy Drink,Personal Gadget,HP,1080791326,400.8105993270874
Soda,Home Appliances,HP,1458327003,316.4818286895752
Root Beer,Home Supplies,HP,1238298939,783.4280729293823
Juice,Personal Gadget,HP,1641935455,326.9745707511902
Toilet Paper,Home Supplies,HP,1468864979,977.0309925079346
Tooth Brush,Personal Gadget,HP,1478370368,701.9985914230347
Mouthwash,Home Appliances,HP,1768144108,378.2529830932617
Toothpaste,Home Supplies,HP,1267547542,729.6236753463745
Soap,Home Supplies,HP,1499055275,321.81352376937866
Shampoo,Office Supplies,HP,1851474478,313.11947107315063
Shower Gel,Home Supplies,HP,1308736802,128.75378131866455
Dish Soap,Personal Gadget,HP,1476987331,425.1111149787903
Towels,Office Supplies,HP,1984326315,383.72915983200073
Cutlery,Home Supplies,HP,1970932297,963.9731049537659
Sanitizer,Home Supplies,HP,1067621023,893.6436772346497
Laundry Detergent,Home Appliances,HP,1175023497,857.2050929069519
Fabric Softener,Personal Gadget,HP,1100648829,72.84128665924072
Dishwasher,Personal Gadget,HP,1101650379,906.4255356788635
Refrigerator,Home Supplies,HP,1295845685,459.31482315063477
TV,Office Supplies,HP,1509643946,263.4449005126953
Sound System,Personal Gadget,HP,1990304573,274.9701142311096
Microwave,Food,HP,1373917316,282.45723247528076
Oven,Office Supplies,HP,1368472745,62.020719051361084
Electric Kettle,Food,HP,1614073774,728.6706566810608
Coffee Maker,Home Supplies,HP,1927394137,446.3452696800232
Heater,Home Appliances,HP,1049252674,310.7442855834961
Humidifier,Home Supplies,HP,1959408807,564.497709274292
Gaming Console,Office Supplies,HP,1720010104,318.4148073196411
Pen,Home Appliances,HP,1776047541,39.53146934509277
Pencil,Food,HP,1838884392,815.9952759742737
Notepad,Personal Gadget,HP,1471234624,75.50758123397827
Sticky Notes,Personal Gadget,HP,1841078768,598.46031665802
Calendar,Personal Gadget,HP,1090000562,63.27015161514282
Planner,Personal Gadget,HP,1462629326,644.1641449928284
Highlighter,Home Appliances,HP,1139497072,430.6681156158447
Sharpener,Home Supplies,HP,1898369570,484.5655560493469
Notebook,Food,HP,1351614797,536.8873476982117
Journal,Personal Gadget,HP,1824428373,97.48214483261108
Diary,Home Appliances,HP,1520966582,489.06832933425903
Printer,Food,HP,1114008428,160.30144691467285
Trashcan,Office Supplies,HP,1529082318,464.17683362960815
Chair,Home Appliances,HP,1150513489,770.3192830085754
Tape,Office Supplies,HP,1396652345,642.550528049469
Eraser,Home Supplies,HP,1734076146,751.1422634124756
Iphone X,Home Appliances,Lays,1342470842,222.17458486557007
Ipad Pro,Food,Lays,1187161531,70.20920515060425
Macbook Pro,Personal Gadget,Lays,1472906449,283.1727862358093
XPS 13,Home Appliances,Lays,1658785219,549.3954420089722
Noise Cancelling Series 2,Personal Gadget,Lays,1372428821,936.9981288909912
Inspiron,Home Supplies,Lays,1087215282,267.9380774497986
Macbook Air,Food,Lays,1647737494,229.24864292144775
Chips,Personal Gadget,Lays,1355677628,847.2523093223572
Milk,Food,Lays,1419784017,501.9335150718689
Yoghurt,Office Supplies,Lays,1928029546,136.42263412475586
Cheese,Food,Lays,1024493036,271.49325609207153
Chicken Breast,Home Appliances,Lays,1510708095,854.1871309280396
Frozen Pizza,Food,Lays,1329933585,382.20924139022827
Bagels,Personal Gadget,Lays,1898226088,110.16875505447388
Bread,Home Supplies,Lays,1301359132,68.18884611129761
Cookies,Personal Gadget,Lays,1232428879,750.1250505447388
Sparkling Water,Personal Gadget,Lays,1832837027,246.40381336212158
Energy Drink,Home Appliances,Lays,1066618132,425.42505264282227
Soda,Food,Lays,1642665080,591.914176940918
Root Beer,Personal Gadget,Lays,1266093774,657.2480201721191
Juice,Home Supplies,Lays,1817588099,766.194224357605
Toilet Paper,Home Supplies,Lays,1303891626,885.7150077819824
Tooth Brush,Office Supplies,Lays,1646769226,210.26641130447388
Mouthwash,Personal Gadget,Lays,1597350359,201.00075006484985
Toothpaste,Home Supplies,Lays,1859955646,634.1562271118164
Soap,Food,Lays,1366106731,738.2519841194153
Shampoo,Home Supplies,Lays,1565342286,269.1359519958496
Shower Gel,Home Supplies,Lays,1029291554,374.8040795326233
Dish Soap,Personal Gadget,Lays,1751946903,963.5891318321228
Towels,Personal Gadget,Lays,1368810231,643.8111662864685
Cutlery,Food,Lays,1500152167,739.4775152206421
Sanitizer,Home Supplies,Lays,1801988293,623.1807470321655
Laundry Detergent,Home Appliances,Lays,1244361807,754.8428177833557
Fabric Softener,Food,Lays,1881525327,875.9540319442749
Dishwasher,Home Supplies,Lays,1905994781,87.15474605560303
Refrigerator,Personal Gadget,Lays,1090227890,414.4402742385864
TV,Home Supplies,Lays,1206470055,39.383888244628906
Sound System,Office Supplies,Lays,1654612436,695.0693130493164
Microwave,Office Supplies,Lays,1362203147,30.316591262817383
Oven,Home Appliances,Lays,1263032732,86.76892518997192
Electric Kettle,Food,Lays,1931357086,645.8455324172974
Coffee Maker,Office Supplies,Lays,1553970885,308.51680040359497
Heater,Home Supplies,Lays,1240207097,259.89824533462524
Humidifier,Home Supplies,Lays,1117637040,420.5123782157898
Gaming Console,Office Supplies,Lays,1371149376,271.5630531311035
Pen,Personal Gadget,Lays,1623778097,950.2292275428772
Pencil,Food,Lays,1590904406,516.221284866333
Notepad,Office Supplies,Lays,1910949782,214.63680267333984
Sticky Notes,Home Appliances,Lays,1673243111,688.6050701141357
Calendar,Home Supplies,Lays,1323439302,391.4484977722168
Planner,Office Supplies,Lays,1303143269,638.3001804351807
Highlighter,Food,Lays,1903134004,126.79767608642578
Sharpener,Food,Lays,1506824609,465.0682806968689
Notebook,Office Supplies,Lays,1892147464,628.8422346115112
Journal,Personal Gadget,Lays,1343405553,332.34649896621704
Diary,Food,Lays,1300784338,174.14230108261108
Printer,Home Supplies,Lays,1318385005,540.4113531112671
Trashcan,Food,Lays,1482929591,587.0679020881653
Chair,Office Supplies,Lays,1676818736,442.0934319496155
Tape,Personal Gadget,Lays,1941285897,585.9155058860779
Eraser,Home Supplies,Lays,1835595611,357.8619360923767
Iphone X,Home Supplies,Ruffles,1177782319,419.9206233024597
Ipad Pro,Food,Ruffles,1290913890,445.9472894668579
Macbook Pro,Home Appliances,Ruffles,1795289286,149.13523197174072
XPS 13,Home Supplies,Ruffles,1850824227,27.43661403656006
Noise Cancelling Series 2,Home Appliances,Ruffles,1246476015,397.5229859352112
Inspiron,Personal Gadget,Ruffles,1596085906,754.6041011810303
Macbook Air,Personal Gadget,Ruffles,1380838250,795.0493097305298
Chips,Home Supplies,Ruffles,1558737348,169.87478733062744
Milk,Office Supplies,Ruffles,1043833369,426.58352851867676
Yoghurt,Food,Ruffles,1360501515,137.65400648117065
Cheese,Personal Gadget,Ruffles,1480537793,936.778724193573
Chicken Breast,Office Supplies,Ruffles,1496846768,674.7919917106628
Frozen Pizza,Personal Gadget,Ruffles,1753764898,966.5719866752625
Bagels,Personal Gadget,Ruffles,1252239224,268.8271403312683
Bread,Home Appliances,Ruffles,1132252266,987.5010251998901
Cookies,Food,Ruffles,1443523129,595.6176519393921
Sparkling Water,Office Supplies,Ruffles,1783070406,476.73046588897705
Energy Drink,Home Appliances,Ruffles,1007735001,946.9189643859863
Soda,Food,Ruffles,1724174662,563.7190937995911
Root Beer,Personal Gadget,Ruffles,1464913453,799.3901968002319
Juice,Home Supplies,Ruffles,1983992062,557.1573376655579
Toilet Paper,Home Supplies,Ruffles,1223146040,23.064851760864258
Tooth Brush,Home Appliances,Ruffles,1166709364,109.60930585861206
Mouthwash,Personal Gadget,Ruffles,1670363187,791.2392020225525
Toothpaste,Food,Ruffles,1041731162,631.7744255065918
Soap,Home Appliances,Ruffles,1774034179,444.9170231819153
Shampoo,Home Appliances,Ruffles,1536463106,66.13552570343018
Shower Gel,Office Supplies,Ruffles,1135358064,341.3935899734497
Dish Soap,Office Supplies,Ruffles,1301617279,361.8052005767822
Towels,Home Supplies,Ruffles,1908809816,114.40986394882202
Cutlery,Food,Ruffles,1291739264,252.56288051605225
Sanitizer,Office Supplies,Ruffles,1881664199,156.81058168411255
Laundry Detergent,Home Appliances,Ruffles,1030345309,975.4647016525269
Fabric Softener,Home Supplies,Ruffles,1132666059,448.1813311576843
Dishwasher,Personal Gadget,Ruffles,1144283291,828.1996250152588
Refrigerator,Personal Gadget,Ruffles,1766259930,860.0306510925293
TV,Office Supplies,Ruffles,1606671882,352.88006067276
Sound System,Home Supplies,Ruffles,1101271541,628.3534169197083
Microwave,Home Supplies,Ruffles,1938627898,58.63982439041138
Oven,Home Appliances,Ruffles,1623816276,964.6185636520386
Electric Kettle,Home Supplies,Ruffles,1419189889,14.831900596618652
Coffee Maker,Office Supplies,Ruffles,1877280423,536.254346370697
Heater,Home Appliances,Ruffles,1438238537,123.4775185585022
Humidifier,Office Supplies,Ruffles,1031896991,369.5611357688904
Gaming Console,Personal Gadget,Ruffles,1312275934,129.727303981781
Pen,Personal Gadget,Ruffles,1067755794,272.8005051612854
Pencil,Home Supplies,Ruffles,1746761241,371.40482664108276
Notepad,Home Supplies,Ruffles,1623713796,134.24807786941528
Sticky Notes,Office Supplies,Ruffles,1266032233,275.2850651741028
Calendar,Personal Gadget,Ruffles,1556893030,986.6373538970947
Planner,Office Supplies,Ruffles,1203026015,753.8049221038818
Highlighter,Office Supplies,Ruffles,1960185723,941.1713480949402
Sharpener,Home Appliances,Ruffles,1622021095,969.7336554527283
Notebook,Office Supplies,Ruffles,1775967769,454.7727704048157
Journal,Home Supplies,Ruffles,1980061595,649.3947505950928
Diary,Personal Gadget,Ruffles,1591216041,705.2356600761414
Printer,Home Appliances,Ruffles,1573816727,921.8937754631042
Trashcan,Office Supplies,Ruffles,1711222863,490.31752347946167
Chair,Personal Gadget,Ruffles,1291227544,930.1663637161255
Tape,Home Supplies,Ruffles,1085514170,246.58089876174927
Eraser,Office Supplies,Ruffles,1829875370,540.3375625610352
Iphone X,Home Supplies,Doritos,1140447335,788.081169128418
Ipad Pro,Home Appliances,Doritos,1060672318,912.8246903419495
Macbook Pro,Food,Doritos,1488953988,808.0747723579407
XPS 13,Office Supplies,Doritos,1325951790,488.8848662376404
Noise Cancelling Series 2,Home Supplies,Doritos,1910289689,261.1556053161621
Inspiron,Personal Gadget,Doritos,1150677230,790.1102900505066
Macbook Air,Personal Gadget,Doritos,1883374149,469.1420793533325
Chips,Home Supplies,Doritos,1615266236,979.0207743644714
Milk,Office Supplies,Doritos,1418886609,270.2484130859375
Yoghurt,Home Supplies,Doritos,1755047241,242.84493923187256
Cheese,Home Appliances,Doritos,1460889718,184.35466289520264
Chicken Breast,Personal Gadget,Doritos,1096853052,49.385786056518555
Frozen Pizza,Office Supplies,Doritos,1852177986,402.41432189941406
Bagels,Home Appliances,Doritos,1365562001,196.230947971344
Bread,Personal Gadget,Doritos,1803199213,258.2135200500488
Cookies,Food,Doritos,1555998103,298.31159114837646
Sparkling Water,Food,Doritos,1137316926,616.9635057449341
Energy Drink,Food,Doritos,1797601312,102.88065671920776
Soda,Home Supplies,Doritos,1861034324,556.813657283783
Root Beer,Personal Gadget,Doritos,1585399295,407.44638442993164
Juice,Personal Gadget,Doritos,1022873826,643.7091827392578
Toilet Paper,Home Appliances,Doritos,1121411204,710.2488279342651
Tooth Brush,Food,Doritos,1465814312,652.5882482528687
Mouthwash,Office Supplies,Doritos,1331660625,322.8321075439453
Toothpaste,Home Supplies,Doritos,1173071900,492.34968423843384
Soap,Home Appliances,Doritos,1987078374,1.5851259231567383
Shampoo,Home Appliances,Doritos,1073730903,400.0880718231201
Shower Gel,Home Appliances,Doritos,1668957046,144.3690061569214
Dish Soap,Personal Gadget,Doritos,1672080559,811.6631507873535
Towels,Personal Gadget,Doritos,1754131765,887.219488620758
Cutlery,Office Supplies,Doritos,1841903489,148.75906705856323
Sanitizer,Food,Doritos,1340183789,615.4197454452515
Laundry Detergent,Home Supplies,Doritos,1874432608,623.3257055282593
Fabric Softener,Food,Doritos,1040792638,266.9382095336914
Dishwasher,Food,Doritos,1066908648,912.93865442276
Refrigerator,Office Supplies,Doritos,1825630418,601.3794541358948
TV,Home Supplies,Doritos,1108919861,647.5458741188049
Sound System,Food,Doritos,1793244837,284.4042778015137
Microwave,Home Supplies,Doritos,1477902016,339.8008942604065
Oven,Office Supplies,Doritos,1700196499,99.35498237609863
Electric Kettle,Food,Doritos,1345860975,36.34333610534668
Coffee Maker,Home Appliances,Doritos,1741899677,951.0210752487183
Heater,Home Supplies,Doritos,1869714474,242.73478984832764
Humidifier,Home Supplies,Doritos,1022392275,130.66929578781128
Gaming Console,Food,Doritos,1571424317,835.1790904998779
Pen,Home Appliances,Doritos,1159480466,829.332172870636
Pencil,Personal Gadget,Doritos,1085719002,800.6526231765747
Notepad,Home Appliances,Doritos,1861844375,333.72628688812256
Sticky Notes,Home Supplies,Doritos,1277727969,904.7812819480896
Calendar,Office Supplies,Doritos,1164853784,134.9983811378479
Planner,Home Appliances,Doritos,1415928183,262.9784941673279
Highlighter,Office Supplies,Doritos,1416752953,196.84118032455444
Sharpener,Home Appliances,Doritos,1173727618,352.3895740509033
Notebook,Personal Gadget,Doritos,1426886387,441.5847063064575
Journal,Home Supplies,Doritos,1062696788,145.5785632133484
Diary,Personal Gadget,Doritos,1298723485,648.963451385498
Printer,Home Appliances,Doritos,1949442566,745.2772259712219
Trashcan,Office Supplies,Doritos,1014207317,153.83905172348022
Chair,Personal Gadget,Doritos,1444567713,454.6494483947754
Tape,Personal Gadget,Doritos,1469622832,160.78782081604004
Eraser,Home Appliances,Doritos,1684858905,509.29051637649536
Iphone X,Home Appliances,Chobani,1309607324,52.83588171005249
Ipad Pro,Home Appliances,Chobani,1758213590,433.5917830467224
Macbook Pro,Home Appliances,Chobani,1003585805,599.5704531669617
XPS 13,Food,Chobani,1284887942,951.2790441513062
Noise Cancelling Series 2,Food,Chobani,1361908775,510.30755043029785
Inspiron,Home Appliances,Chobani,1399090621,692.1514272689819
Macbook Air,Food,Chobani,1317024992,828.036904335022
Chips,Personal Gadget,Chobani,1143047346,286.6728901863098
Milk,Home Supplies,Chobani,1783490709,419.677197933197
Yoghurt,Office Supplies,Chobani,1553335217,347.6199507713318
Cheese,Home Appliances,Chobani,1760473201,441.0896897315979
Chicken Breast,Food,Chobani,1089070935,902.0962715148926
Frozen Pizza,Food,Chobani,1318255589,497.75582551956177
Bagels,Office Supplies,Chobani,1516597760,984.6430420875549
Bread,Food,Chobani,1498314370,93.59228610992432
Cookies,Office Supplies,Chobani,1559443036,837.7878069877625
Sparkling Water,Food,Chobani,1502675610,373.75956773757935
Energy Drink,Home Supplies,Chobani,1069922497,823.1949210166931
Soda,Home Supplies,Chobani,1415935624,588.3281230926514
Root Beer,Food,Chobani,1844891161,135.733962059021
Juice,Home Appliances,Chobani,1421658005,801.24831199646
Toilet Paper,Home Appliances,Chobani,1548445887,473.5318422317505
Tooth Brush,Home Supplies,Chobani,1388559236,265.3026580810547
Mouthwash,Office Supplies,Chobani,1215161024,266.80129766464233
Toothpaste,Home Supplies,Chobani,1421320597,403.78403663635254
Soap,Home Supplies,Chobani,1075600520,52.44803428649902
Shampoo,Home Supplies,Chobani,1621990205,261.8767023086548
Shower Gel,Home Appliances,Chobani,1698936137,323.78876209259033
Dish Soap,Home Appliances,Chobani,1782370042,596.5502858161926
Towels,Food,Chobani,1803675158,236.91505193710327
Cutlery,Personal Gadget,Chobani,1932741754,897.7901339530945
Sanitizer,Office Supplies,Chobani,1305553892,47.20264673233032
Laundry Detergent,Home Supplies,Chobani,1780627071,713.8709425926208
Fabric Softener,Food,Chobani,1900995939,39.19106721878052
Dishwasher,Personal Gadget,Chobani,1773477170,779.9551486968994
Refrigerator,Personal Gadget,Chobani,1515208342,36.68975830078125
TV,Home Supplies,Chobani,1265344328,916.5114760398865
Sound System,Personal Gadget,Chobani,1456657702,701.7473578453064
Microwave,Home Supplies,Chobani,1529433550,218.96839141845703
Oven,Home Appliances,Chobani,1935619973,693.4478282928467
Electric Kettle,Food,Chobani,1871314374,152.8404951095581
Coffee Maker,Office Supplies,Chobani,1435648443,130.86551427841187
Heater,Office Supplies,Chobani,1112469126,202.61192321777344
Humidifier,Home Appliances,Chobani,1125690785,537.5645160675049
Gaming Console,Food,Chobani,1247366435,304.3760061264038
Pen,Office Supplies,Chobani,1310373821,714.5163416862488
Pencil,Food,Chobani,1161602642,481.1828136444092
Notepad,Office Supplies,Chobani,1720452820,549.1188168525696
Sticky Notes,Office Supplies,Chobani,1231702611,658.9347720146179
Calendar,Home Supplies,Chobani,1019003120,203.1404972076416
Planner,Personal Gadget,Chobani,1222389716,285.3119373321533
Highlighter,Personal Gadget,Chobani,1156657111,93.01221370697021
Sharpener,Home Supplies,Chobani,1733625358,23.54949712753296
Notebook,Food,Chobani,1456721679,571.2080597877502
Journal,Office Supplies,Chobani,1122207905,819.0031051635742
Diary,Food,Chobani,1494638600,804.8800826072693
Printer,Home Appliances,Chobani,1191559827,114.51315879821777
Trashcan,Home Supplies,Chobani,1792889249,422.94108867645264
Chair,Home Appliances,Chobani,1384498062,948.9424824714661
Tape,Office Supplies,Chobani,1059632734,539.0642881393433
Eraser,Home Appliances,Chobani,1868876324,343.3554768562317
Iphone X,Home Appliances,Lactaid,1525267166,557.3434233665466
Ipad Pro,Personal Gadget,Lactaid,1932237505,445.7007050514221
Macbook Pro,Food,Lactaid,1884507302,109.51435565948486
XPS 13,Food,Lactaid,1921869426,755.2520036697388
Noise Cancelling Series 2,Home Appliances,Lactaid,1331892448,765.6874656677246
Inspiron,Food,Lactaid,1519395132,723.2689261436462
Macbook Air,Home Appliances,Lactaid,1225912924,90.61449766159058
Chips,Home Appliances,Lactaid,1128352020,670.3110933303833
Milk,Personal Gadget,Lactaid,1461839623,798.8661527633667
Yoghurt,Office Supplies,Lactaid,1298847349,270.44057846069336
Cheese,Office Supplies,Lactaid,1747144439,387.317419052124
Chicken Breast,Personal Gadget,Lactaid,1400674315,528.3799171447754
Frozen Pizza,Home Supplies,Lactaid,1618026060,712.5275731086731
Bagels,Office Supplies,Lactaid,1686208313,870.8714246749878
Bread,Food,Lactaid,1313544375,632.5998306274414
Cookies,Food,Lactaid,1723578734,544.4551110267639
Sparkling Water,Office Supplies,Lactaid,1028380447,474.664568901062
Energy Drink,Home Appliances,Lactaid,1211255882,268.22036504745483
Soda,Office Supplies,Lactaid,1730069025,725.1347899436951
Root Beer,Personal Gadget,Lactaid,1955154092,44.480323791503906
Juice,Personal Gadget,Lactaid,1676107996,803.3430576324463
Toilet Paper,Food,Lactaid,1362110565,148.5937237739563
Tooth Brush,Personal Gadget,Lactaid,1165676360,981.2126159667969
Mouthwash,Home Supplies,Lactaid,1008253398,770.2571749687195
Toothpaste,Office Supplies,Lactaid,1465449965,691.5073990821838
Soap,Personal Gadget,Lactaid,1522051486,184.58682298660278
Shampoo,Personal Gadget,Lactaid,1455484452,442.32016801834106
Shower Gel,Home Appliances,Lactaid,1290091131,17.3913836479187
Dish Soap,Home Supplies,Lactaid,1436249528,971.3107943534851
Towels,Home Appliances,Lactaid,1974830155,413.5354161262512
Cutlery,Office Supplies,Lactaid,1949187839,853.4259796142578
Sanitizer,Food,Lactaid,1919338051,201.6419768333435
Laundry Detergent,Office Supplies,Lactaid,1008799517,572.1760988235474
Fabric Softener,Personal Gadget,Lactaid,1611568796,407.1618914604187
Dishwasher,Personal Gadget,Lactaid,1083008374,706.8977355957031
Refrigerator,Home Appliances,Lactaid,1162882269,336.73614263534546
TV,Home Supplies,Lactaid,1639862146,834.8004221916199
Sound System,Food,Lactaid,1410807508,530.619204044342
